"Binomial.1.2","Condition_Met"
"Chaetodipus_artus",0
"Chaetodipus_baileyi",0
"Chaetodipus_californicus",0
"Chaetodipus_eremicus",0
"Chaetodipus_fallax",0
"Chaetodipus_formosus",0
"Chaetodipus_goldmani",0
"Chaetodipus_hispidus",0
"Chaetodipus_intermedius",0
"Chaetodipus_lineatus",0
"Chaetodipus_nelsoni",0
"Chaetodipus_penicillatus",0
"Chaetodipus_pernix",0
"Chaetodipus_rudinoris",0
"Chaetodipus_spinatus",0
"Chaetomys_subspinosus",0
"Chaetophractus_vellerosus",0
"Chaetophractus_villosus",0
"Cheirogaleus_crossleyi",0
"Cheirogaleus_major",0
"Cheirogaleus_medius",0
"Cheirogaleus_minusculus",0
"Cheirogaleus_sibreei",0
"Chelemys_delfini",0
"Chelemys_macronyx",0
"Chelemys_megalonyx",0
"Chibchanomys_orcesi",0
"Chibchanomys_trichotis",0
"Chilomys_instans",0
"Chimarrogale_hantu",0
"Chimarrogale_himalayica",0
"Chimarrogale_phaeura",0
"Chimarrogale_platycephalus",0
"Chimarrogale_styani",0
"Chimarrogale_sumatrana",0
"Chinchilla_chinchilla",0
"Chinchilla_lanigera",0
"Chinchillula_sahamae",0
"Chionomys_gud",0
"Chionomys_nivalis",0
"Chionomys_roberti",0
"Chiromyscus_chiropus",0
"Chironectes_minimus",0
"Chiropodomys_calamianensis",0
"Chiropodomys_gliroides",0
"Chiropodomys_karlkoopmani",0
"Chiropodomys_major",0
"Chiropodomys_muroides",0
"Chiropodomys_pusillus",0
"Chiropotes_albinasus",0
"Chiropotes_chiropotes",0
"Chiropotes_satanas",0
"Chiropotes_utahickae",0
"Chiruromys_forbesi",0
"Chiruromys_lamia",0
"Chiruromys_vates",0
"Chlamyphorus_truncatus",0
"Chlorocebus_aethiops",0
"Chlorocebus_cynosuros",0
"Chlorocebus_djamdjamensis",0
"Chlorocebus_pygerythrus",0
"Chlorocebus_sabaeus",0
"Chlorocebus_tantalus",0
"Chlorotalpa_duthieae",0
"Chlorotalpa_sclateri",0
"Chodsigoa_caovansunga",0
"Chodsigoa_hypsibia",0
"Chodsigoa_lamula",0
"Chodsigoa_parca",0
"Chodsigoa_parva",0
"Chodsigoa_salenskii",0
"Chodsigoa_smithii",0
"Chodsigoa_sodalis",0
"Choeropsis_liberiensis",1
"Choloepus_didactylus",0
"Choloepus_hoffmanni",0
"Chrotogale_owstoni",0
"Chrotomys_gonzalesi",0
"Chrotomys_mindorensis",0
