"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"1399","Lachesiodendron viridiflorum","2.0-20.0",0,0,5,"","","60.00-110.00","12.00-2.00","","",NA,"5.0-15.0","40.00-55.00","","20.0-50.0","4.00-7.00","0.80-1.60","","","","","","","",NA,"","","","8.2-13.0","19.00-32.00",3,0,0,2,1,1,"",3,"",1,2,NA,"0.8-1.0","0.54-0.80","(0)",NA,"5.0-8.0",NA,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,60,110,85,5,15,10,40,55,47.5,20,50,35,4,7,5.5,0.8,1.6,1.2,8.2,13,10.6,19,32,25.5,0.8,1,0.9,2,20,11,1
"1400","Lemurodendron capuronii","25.0-30.0",0,NA,5,"","","10.00-30.00","15.00-35.00","","",NA,"1.0-2.0","","","2.0-4.0","15.00-35.00","8.00-16.00","","","","","","","",NA,"","","","8.0-35.0","20.00-25.00",NA,0,NA,NA,NA,NA,"",NA,"",1,2,0,"3.0-5.0","1.60-2.40","(1)",NA,"",0,NA,"(0)","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,10,30,20,1,2,1.5,NA,NA,NA,2,4,3,15,35,25,8,16,12,8,35,21.5,20,25,22.5,3,5,4,25,30,27.5,0
"1401","Leucaena collinsii","10.0-15.0",0,0,5,"14.00-20.00","","80.00-170.00","14.00-28.00","3.20-4.00","",0,"12.0-16.0","","4.00-8.70","45.0-56.0","4.30-7.00","1.10-1.90","","","","","","","",NA,"","","","16.5-18.5","17.00-19.00",3,0,0,NA,1,1,"",3,"1.0-4.0",1,2,8,"0.7-0.9","0.40-0.62","",3,"14.0-20.0",NA,NA,"","",3,"2.00","1.00","","#Name?",NA,"#Name?",NA,"(0)","(2)","","10.0-15.0","(1)","","#Name?","#Name?","","","",14,20,17,80,170,125,12,16,14,NA,NA,NA,45,56,50.5,4.3,7,5.65,1.1,1.9,1.5,16.5,18.5,17.5,17,19,18,0.7,0.9,0.8,10,15,12.5,0
"1402","Leucaena confertiflora","2.0-6.0",1,0,5,"8.00-17.00","7.60-11.00","40.00-100.00","","","",NA,"5.0-7.0","","","18.0-26.0","5.00-10.50","2.00-3.40","","","","","","","",NA,"","","","9.0-15.0","16.00-26.00",3,0,0,0,1,1,"",3,"1.0-7.0",1,3,NA,"0.7-0.8","0.50-0.68","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",8,17,12.5,40,100,70,5,7,6,NA,NA,NA,18,26,22,5,10.5,7.75,2,3.4,2.7,9,15,12,16,26,21,0.7,0.8,0.75,2,6,4,0
"1403","Leucaena confertiflora var. adenotheloidea","",NA,0,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",1,NA,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1404","Leucaena confertiflora var. confertiflora","",NA,0,5,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",1,NA,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1405","Leucaena cruziana","",NA,NA,5,"","","50.00-80.00","","","",NA,"2.0-5.0","","","3.0-6.0","30.00-50.00","20.00-35.00","","","","","","","",NA,"","","","10.0-22.0","13.00-24.00",3,6,0,NA,1,1,"",2,"",NA,NA,8,"","","",NA,"",NA,NA,"","",3,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,50,80,65,2,5,3.5,NA,NA,NA,3,6,4.5,30,50,40,20,35,27.5,10,22,16,13,24,18.5,NA,NA,NA,NA,NA,NA,0
"1406","Leucaena cuspidata","2.0-4.0",0,0,5,"18.00-22.00","12.00-15.00","80.00-150.00","26.00-30.00","4.90-6.00","",2,"11.0-16.0","","7.00-10.00","40.0-45.0","5.20-6.60","1.50-2.30","","","","","","","",NA,"","","","9.4-11.8","20.00-30.00",3,6,0,2,1,1,"",23,"1.0-2.0",1,3,8,"0.9-1.2","0.81-1.06","",3,"13.0-15.0",NA,NA,"","",3,"1.00-1.50","1.00","","#Name?",NA,"#Name?",NA,"(1)","(2)","","","(1)","","#Name?","#Name?","","","",18,22,20,80,150,115,11,16,13.5,NA,NA,NA,40,45,42.5,5.2,6.6,5.9,1.5,2.3,1.9,9.4,11.8,10.6,20,30,25,0.9,1.2,1.05,2,4,3,0
"1407","Leucaena diversifolia","5.0-18.0",0,0,5,"19.00-24.00","8.00-11.00","160.00-190.00","18.00-23.00","3.40-4.40","",2,"16.0-24.0","","5.00-7.00","48.0-58.0","4.00-5.50","0.80-1.00","","","","","","","",NA,"","","","10.0-13.0","13.00-16.00",3,6,0,NA,1,1,"",2,"3.0-6.0",1,2,8,"0.3","0.43-0.55","",3,"18.0-10.0",NA,NA,"","",3,"0.40-0.50","0.20-0.30","","#Name?",0,"#Name?",NA,"(0)","(2)","","3.0-11.0","(1)","","#Name?","#Name?","","","",19,24,21.5,160,190,175,16,24,20,NA,NA,NA,48,58,53,4,5.5,4.75,0.8,1,0.9,10,13,11.5,13,16,14.5,0.3,0.3,0.3,5,18,11.5,0
"1408","Leucaena esculenta","10.0-15.0",0,0,5,"20.00-40.00","15.00-22.00","300.00-350.00","17.00-20.00","3.90-4.80","",2,"30.0-40.0","","9.50-12.00","60.0-75.0","3.50-6.60","0.90-1.00","","","","","","","",NA,"","","","15.0-25.0","23.00-26.00",3,6,0,0,1,1,"",3,"1.0-2.0",1,2,8,"0.9-1.1","0.70-0.90","",3,"15.0-20.0",NA,NA,"","",3,"0.60","0.40","","#Name?",0,"#Name?",NA,"(0)","(2)","","15.0-20.0","(1)","","#Name?","#Name?","","","",20,40,30,300,350,325,30,40,35,NA,NA,NA,60,75,67.5,3.5,6.6,5.05,0.9,1,0.95,15,25,20,23,26,24.5,0.9,1.1,1,10,15,12.5,0
"1409","Leucaena greggii","3.0-5.0",0,0,5,"17.00-22.00","15.00-18.00","80.00-120.00","20.00-24.00","4.00-5.50","",2,"8.0-10.0","","8.00-11.00","27.0-34.0","8.00-11.50","2.50-3.00","","","","","","","",NA,"","","","15.0-18.0","15.00-18.00",3,6,2,3,1,1,"",3,"1.0-3.0",1,27,8,"0.5-0.7","0.75-0.90","",3,"11.0-15.0",NA,NA,"","",3,"0.30","0.30","","#Name?",NA,"#Name?",NA,"(1)","(2)","","","(1)","","#Name?","#Name?","","","",17,22,19.5,80,120,100,8,10,9,NA,NA,NA,27,34,30.5,8,11.5,9.75,2.5,3,2.75,15,18,16.5,15,18,16.5,0.5,0.7,0.6,3,5,4,0
"1410","Leucaena involucrata","2.0-5.0",0,0,5,"18.00-22.00","8.00-13.00","140.00-190.00","20.00-29.00","4.00-5.90","",2,"16.0-22.0","","5.50-8.30","40.0-51.0","5.00-6.60","0.90-1.70","","","","","","","",NA,"","","","11.0-18.0","9.00-13.00",3,6,0,2,1,1,"",3,"1.0-4.0",1,2,8,"0.7-0.8","0.49-0.59","",3,"12.0-19.0",NA,NA,"","",3,"0.40","0.40","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",18,22,20,140,190,165,16,22,19,NA,NA,NA,40,51,45.5,5,6.6,5.8,0.9,1.7,1.3,11,18,14.5,9,13,11,0.7,0.8,0.75,2,5,3.5,0
"1411","Leucaena lanceolata","5.0-15.0",0,0,5,"15.00-25.00","9.00-23.00","50.00-160.00","15.00-28.00","4.00-4.30","",1,"2.0-5.0","","4.50-9.00","3.0-6.0","16.00-70.00","8.00-35.00","","","","","","","",NA,"","","","10.0-30.0","13.00-32.00",3,0,0,0,1,1,"",2,"1.0-6.0",1,NA,8,"0.6-1.1","0.38-0.87","",3,"13.0-18.0",NA,NA,"","",3,"2.50-3.50","1.50-2.00","","#Name?",NA,"#Name?",NA,"(0)","(2)","","15.0-30.0","(1)","","#Name?","#Name?","","","",15,25,20,50,160,105,2,5,3.5,NA,NA,NA,3,6,4.5,16,70,43,8,35,21.5,10,30,20,13,32,22.5,0.6,1.1,0.85,5,15,10,0
"1412","Leucaena lempirana","4.0-15.0",0,0,5,"19.00-24.00","11.00-14.00","110.00-150.00","25.00-35.00","3.50-3.80","",2,"14.0-19.0","","7.00-10.00","30.0-36.0","5.00-6.00","1.60-2.00","","","","","","","",NA,"","","","10.0-25.0","18.00-32.00",3,0,0,NA,1,1,"",2,"1.0-2.0",1,2,8,"0.7-0.9","0.38-0.52","",3,"14.0-20.0",NA,NA,"","",3,"1.00","0.70","","#Name?",NA,"#Name?",NA,"(0)","(2)","","8.0-11.0","(1)","","#Name?","#Name?","","","",19,24,21.5,110,150,130,14,19,16.5,NA,NA,NA,30,36,33,5,6,5.5,1.6,2,1.8,10,25,17.5,18,32,25,0.7,0.9,0.8,4,15,9.5,0
"1413","Leucaena leucocephala","3.0-15.0",0,0,5,"12.00-25.00","7.00-16.00","50.00-102.00","13.00-34.00","3.50-4.10","",2,"6.0-8.0","","5.00-10.20","13.0-21.0","9.00-16.00","2.00-4.50","","","","","","","",NA,"","","","11.0-19.0","15.00-21.00",3,NA,NA,NA,NA,NA,"",NA,"5.0-20.0",1,NA,8,"0.7-1.0","0.40-0.63","",3,"8.0-18.0",NA,NA,"","",3,"2.00-3.00","1.20-1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","4.0-14.0","(1)","","#Name?","#Name?","","","",12,25,18.5,50,102,76,6,8,7,NA,NA,NA,13,21,17,9,16,12.5,2,4.5,3.25,11,19,15,15,21,18,0.7,1,0.85,3,15,9,0
"1414","Leucaena leucocephala ssp. glabrata","5.0-15.0",0,0,5,"19.00-25.00","12.00-16.00","110.00-155.00","24.00-34.00","","",NA,"6.0-8.0","","8.00-10.20","16.0-19.0","11.00-16.00","3.00-4.50","","","","","","","",NA,"","","","12.0-19.0","18.00-21.00",3,NA,NA,NA,NA,NA,"",NA,"6.0-20.0",1,NA,8,"0.8","0.54-0.56","",NA,"13.0-18.0",NA,NA,"","",3,"2.00-3.00","1.40-1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",19,25,22,110,155,132.5,6,8,7,NA,NA,NA,16,19,17.5,11,16,13.5,3,4.5,3.75,12,19,15.5,18,21,19.5,0.8,0.8,0.8,5,15,10,0
"1415","Leucaena leucocephala ssp. Ixtahuacana","5.0-7.0",0,0,5,"13.00-16.00","8.00-11.00","70.00-120.00","13.00-23.00","","",NA,"6.0-8.0","","5.00-8.00","16.0-20.0","9.00-11.00","2.00-2.60","","","","","","","",NA,"","","","10.0-13.0","15.00-17.00",3,NA,NA,NA,NA,NA,"",NA,"6.0-12.0",1,NA,8,"0.8-1.0","0.47-0.63","",NA,"8.0-14.0",NA,NA,"","",3,"2.00-2.40","1.20-1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",13,16,14.5,70,120,95,6,8,7,NA,NA,NA,16,20,18,9,11,10,2,2.6,2.3,10,13,11.5,15,17,16,0.8,1,0.9,5,7,6,0
"1416","Leucaena macrophylla","3.0-10.0",0,0,5,"15.00-23.00","17.00-28.00","48.00-109.00","11.00-40.00","1.80-4.60","",0,"2.0-3.0","","7.00-8.80","2.0-3.0","51.00-70.00","27.00-39.00","","","","","","","",NA,"","","","16.5-21.0","23.00-24.00",3,6,0,0,1,1,"",2,"2.0-4.0",1,2,8,"0.6-0.8","0.38-0.57","",3,"10.0-16.0",NA,NA,"","",3,"0.70-1.70","0.70-1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","9.0-15.0","(1)","","#Name?","#Name?","","","",15,23,19,48,109,78.5,2,3,2.5,NA,NA,NA,2,3,2.5,51,70,60.5,27,39,33,16.5,21,18.75,23,24,23.5,0.6,0.8,0.7,3,10,6.5,0
"1417","Leucaena macrophylla spp. istmensis","3.0-10.0",0,NA,5,"","","82.00-109.00","11.00-22.00","","",NA,"3.0","","","3.0-4.0","23.00-56.00","17.00-24.00","","","","","","","",NA,"","","","12.0-14.0","14.00-18.00",NA,NA,NA,NA,NA,NA,"",NA,"2.0-4.0",1,NA,8,"0.5-0.7","0.35-0.46","",NA,"",NA,NA,"","",3,"","","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",NA,NA,NA,82,109,95.5,3,3,3,NA,NA,NA,3,4,3.5,23,56,39.5,17,24,20.5,12,14,13,14,18,16,0.5,0.7,0.6,3,10,6.5,0
"1418","Leucaena magnifica","10.0-15.0",0,0,5,"20.00-30.00","14.00-20.00","120.00-180.00","30.00-60.00","3.50-4.10","",0,"4.0-7.0","","10.00-16.00","11.0-16.0","22.00-26.00","9.00-12.00","","","","","","","",NA,"","","","17.0-21.0","17.00-21.00",3,0,0,0,1,1,"",2,"11.0-16.0",1,2,8,"0.8-0.9","0.45-0.52","",3,"14.0-22.0",NA,NA,"","",3,"3.00-4.00","1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","3.0-8.0","(1)","","#Name?","#Name?","","","",20,30,25,120,180,150,4,7,5.5,NA,NA,NA,11,16,13.5,22,26,24,9,12,10.5,17,21,19,17,21,19,0.8,0.9,0.85,10,15,12.5,0
"1419","Leucaena matudae","8.0-10.0",0,0,5,"18.00-26.00","12.00-19.00","120.00-230.00","14.00-22.00","4.20-6.00","",2,"16.0-18.0","","8.50-13.00","60.0-75.0","5.50-6.30","1.00-1.30","","","","","","","",NA,"","","","14.8-19.0","12.00-15.00",3,6,3,2,1,1,"",3,"1.0-2.0",1,27,8,"0.8-0.9","0.61-0.90","",3,"8.0-17.0",NA,NA,"","",3,"0.20","0.20","","#Name?",NA,"#Name?",NA,"(0)","(2)","","4.0-5.0","(1)","","#Name?","#Name?","","","",18,26,22,120,230,175,16,18,17,NA,NA,NA,60,75,67.5,5.5,6.3,5.9,1,1.3,1.15,14.8,19,16.9,12,15,13.5,0.8,0.9,0.85,8,10,9,0
"1420","Leucaena mixtec","10.0-20.0",0,0,5,"22.00-28.00","15.00-20.00","130.00-200.00","22.00-28.00","","",NA,"9.0-14.0","","7.00-9.00","24.0-31.0","9.00-14.00","1.90-2.70","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,8,"","","",NA,"",NA,NA,"","",3,"3.20-4.00","2.50-2.70","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",22,28,25,130,200,165,9,14,11.5,NA,NA,NA,24,31,27.5,9,14,11.5,1.9,2.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,15,0
"1421","Leucaena multicapitula","15.0-25.0",0,0,5,"20.00-30.00","14.00-18.00","14.00-16.00","30.00-50.00","2.00-2.30","",0,"3.0-4.0","","7.00-10.00","4.0-5.0","40.00-50.00","18.00-20.00","","","","","","","",NA,"","","","8.0-16.0","23.00-35.00",3,0,0,0,1,1,"",3,"1.0-2.0",1,2,8,"0.7-0.9","0.35-0.54","",3,"12.0-14.0",NA,NA,"","",3,"3.00-5.00","1.00-2.00","","#Name?",NA,"#Name?",NA,"(0)","(2)","","11.0-15.0","(1)","","#Name?","#Name?","","","",20,30,25,14,16,15,3,4,3.5,NA,NA,NA,4,5,4.5,40,50,45,18,20,19,8,16,12,23,35,29,0.7,0.9,0.8,15,25,20,0
"1422","Leucaena pallida","3.0-7.0",0,0,5,"20.00-28.00","14.00-19.00","140.00-250.00","13.00-31.00","4.00-5.90","",2,"15.0-25.0","","7.50-10.50","39.0-50.0","6.10-8.00","1.20-1.60","","","","","","","",NA,"","","","12.0-18.5","14.00-18.00",3,6,0,2,1,1,"",23,"3.0-5.0",1,27,8,"0.6-0.8","0.51-0.65","",3,"16.0-22.0",NA,NA,"","",3,"3.20-4.00","1.80-3.20","","#Name?",0,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",20,28,24,140,250,195,15,25,20,NA,NA,NA,39,50,44.5,6.1,8,7.05,1.2,1.6,1.4,12,18.5,15.25,14,18,16,0.6,0.8,0.7,3,7,5,0
"1423","Leucaena pueblana","5.0-10.0",0,0,5,"15.00-17.00","5.00-9.50","90.00-150.00","12.00-16.00","5.10-5.40","",2,"16.0-20.0","","4.00-8.00","40.0-55.0","4.70-5.80","0.90-1.10","","","","","","","",NA,"","","","13.0-15.0","13.00-15.00",3,6,0,2,1,1,"",3,"1.0-2.0",1,37,8,"0.8","0.58-0.61","",3,"12.0-16.0",NA,NA,"","",3,"2.40","1.60","","#Name?",NA,"#Name?",NA,"(0)","(2)","","4.0-7.0","(1)","","#Name?","#Name?","","","",15,17,16,90,150,120,16,20,18,NA,NA,NA,40,55,47.5,4.7,5.8,5.25,0.9,1.1,1,13,15,14,13,15,14,0.8,0.8,0.8,5,10,7.5,0
"1424","Leucaena pulverulenta","5.0-18.0",0,0,5,"18.00-22.00","7.00-9.50","110.00-170.00","27.00-35.00","2.30-2.50","",1,"14.0-16.0","","5.00-6.50","61.0-69.0","4.40-4.90","0.80-1.00","","","","","","","",NA,"","","","12.0-21.0","14.00-24.00",3,6,0,2,1,1,"",3,"1.0-2.0",1,2,8,"0.7-0.8","0.32-0.42","",3,"16.0-24.0",NA,NA,"","",3,"3.00","1.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",18,22,20,110,170,140,14,16,15,NA,NA,NA,61,69,65,4.4,4.9,4.65,0.8,1,0.9,12,21,16.5,14,24,19,0.7,0.8,0.75,5,18,11.5,0
"1425","Leucaena retusa","2.0-5.0",0,0,5,"","","70.00-90.00","40.00-50.00","7.30-7.50","",2,"3.0-4.0","","9.00-11.00","5.0-6.0","20.00-26.00","10.00-12.00","","","","","","","",NA,"","","","16.0-20.0","11.00-13.00",3,6,0,2,1,1,"",3,"1.0-2.0",1,2,8,"0.7-0.9","0.48-0.65","",3,"13.0-15.0",NA,NA,"","",3,"1.00","1.00","","#Name?",NA,"#Name?",NA,"(0)","(2)","","4.0-5.0","(1)","","#Name?","#Name?","","","",NA,NA,NA,70,90,80,3,4,3.5,NA,NA,NA,5,6,5.5,20,26,23,10,12,11,16,20,18,11,13,12,0.7,0.9,0.8,2,5,3.5,0
"1426","Leucaena salvadorensis","10.0-15.0",0,0,5,"20.00-30.00","19.00-26.00","70.00-140.00","19.00-25.00","4.10-4.80","",1,"4.0-7.0","","13.00-16.00","23.0-27.0","15.00-19.00","3.00-5.00","","","","","","","",NA,"","","","14.0-18.0","26.00-29.00",3,0,0,2,1,1,"",3,"1.0-2.0",1,2,8,"0.9-1.2","0.52-0.67","",3,"12.0-16.0",NA,NA,"","",3,"5.00","2.50","","#Name?",NA,"#Name?",NA,"(0)","(2)","","7.0-15.0","(1)","","#Name?","#Name?","","","",20,30,25,70,140,105,4,7,5.5,NA,NA,NA,23,27,25,15,19,17,3,5,4,14,18,16,26,29,27.5,0.9,1.2,1.05,10,15,12.5,0
"1427","Leucaena shannonii","10.0-12.0",0,0,5,"10.00-15.00","8.00-12.00","30.00-90.00","15.00-30.00","2.80-3.90","",0,"4.0-6.0","","3.00-8.00","7.0-13.0","16.00-18.00","5.00-7.00","","","","","","","",NA,"","","","12.0-16.0","14.00-16.00",3,0,0,0,1,1,"",2,"1.0-2.0",1,2,8,"0.6-0.8","0.47-0.56","",3,"12.0-20.0",NA,NA,"","",3,"2.00-3.00","1.00","","#Name?",NA,"#Name?",NA,"(0)","(2)","","6.0-10.0","(1)","","#Name?","#Name?","","","",10,15,12.5,30,90,60,4,6,5,NA,NA,NA,7,13,10,16,18,17,5,7,6,12,16,14,14,16,15,0.6,0.8,0.7,10,12,11,0
"1428","Leucaena spontanea","5.0-15.0",0,0,5,"24.00-27.00","11.00-14.00","140.00-210.00","32.00-36.00","","",NA,"11.0-16.0","","6.50-9.00","26.0-36.0","8.00-10.00","1.20-2.00","","","","","","","",NA,"","","","10.0-15.0","15.00-20.00",3,NA,NA,NA,NA,NA,"",NA,"",1,NA,8,"0.7","0.29-0.35","",3,"14.0-20.0",NA,NA,"","",3,"0.30","0.70","","#Name?",NA,"#Name?",NA,"(0)","(2)","","","","","#Name?","#Name?","","","",24,27,25.5,140,210,175,11,16,13.5,NA,NA,NA,26,36,31,8,10,9,1.2,2,1.6,10,15,12.5,15,20,17.5,0.7,0.7,0.7,5,15,10,0
"1429","Leucaena trichandra","5.0-15.0",0,0,5,"12.00-20.00","7.00-11.00","90.00-130.00","12.00-22.00","3.90-4.80","",2,"11.0-22.0","","4.00-6.00","30.0-40.0","3.80-5.20","1.00-1.40","","","","","","","",NA,"","","","7.0-11.0","15.00-23.00",3,0,0,0,1,1,"",2,"2.0-4.0",1,2,8,"0.5-0.7","0.28-0.37","",3,"5.0-20.0",NA,NA,"","",3,"1.60-3.40","1.00-1.70","","#Name?",NA,"#Name?",NA,"(0)","(2)","","5.0-10.0","(1)","","#Name?","#Name?","","","",12,20,16,90,130,110,11,22,16.5,NA,NA,NA,30,40,35,3.8,5.2,4.5,1,1.4,1.2,7,11,9,15,23,19,0.5,0.7,0.6,5,15,10,0
"1430","Leucaena trichodes","5.0-15.0",0,0,5,"12.00-20.00","7.00-11.00","90.00-130.00","12.00-22.00","3.90-4.80","",2,"11.0-22.0","","4.00-6.00","30.0-40.0","3.80-5.20","1.00-1.40","","","","","","","",NA,"","","","7.0-11.0","15.00-23.00",3,NA,NA,NA,NA,NA,"",NA,"2.0-4.0",1,NA,8,"0.5-0.7","0.28-0.37","",3,"5.0-20.0",NA,NA,"","",3,"1.60-3.40","1.00-1.70","","#Name?",NA,"#Name?",NA,"(0)","(2)","","5.0-10.0","(1)","","#Name?","#Name?","","","",12,20,16,90,130,110,11,22,16.5,NA,NA,NA,30,40,35,3.8,5.2,4.5,1,1.4,1.2,7,11,9,15,23,19,0.5,0.7,0.6,5,15,10,0
"1431","Leucaena zacapana","",0,NA,5,"7.00-12.00","","37.00-49.00","","","",NA,"5.0-8.0","","","25.0-40.0","3.70-6.00","1.00-1.30","","","","","","","",NA,"","","","11.0-13.5","10.00-12.00",NA,6,NA,NA,NA,NA,"",NA,"",1,NA,8,"","","",NA,"9.0-15.0",NA,NA,"","",3,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",7,12,9.5,37,49,43,5,8,6.5,NA,NA,NA,25,40,32.5,3.7,6,4.85,1,1.3,1.15,11,13.5,12.25,10,12,11,NA,NA,NA,NA,NA,NA,0
"1432","Leucochloron bolivianum","5.0-10.0",0,0,5,"","","","","0.30","1.70-2.00",0,"4.0-6.0","","","4.0-6.0","7.00-10.00","2.10-3.20","","","","","","","",NA,"","","","6.0-10.0","17.00-27.00",3,0,0,0,1,1,"",3,"1.0",1,27,NA,"0.9","0.60","",3,"3.0-8.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","1.10-1.30","","",NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,4,6,5,7,10,8.5,2.1,3.2,2.65,6,10,8,17,27,22,0.9,0.9,0.9,5,10,7.5,0
"1433","Leucochloron limae","1.0-4.0",1,0,5,"","","","8.00-18.00","2.00","",0,"4.0-7.0","","","8.0-14.0","5.00-11.50","2.50-5.50","","","","","","","",NA,"","","","7.0","17.00-18.00",3,0,0,2,1,1,"",3,"1.0",1,3,NA,"1.4-1.9","1.00-1.40","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","1.40","","",NA,NA,NA,NA,NA,NA,4,7,5.5,NA,NA,NA,8,14,11,5,11.5,8.25,2.5,5.5,4,7,7,7,17,18,17.5,1.4,1.9,1.65,1,4,2.5,0
"1434","Lysiloma candida","10.0",0,NA,5,"3.00-7.00","","","","6.00-15.00","",NA,"1.0-3.0","","","5.0-17.0","8.00-22.00","4.00-8.00","","","","","","","",NA,"","","","8.0-15.0","25.00-30.00",NA,5,0,0,1,1,"",3,"",1,57,NA,"1.0","0.60","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",3,7,5,NA,NA,NA,1,3,2,NA,NA,NA,5,17,11,8,22,15,4,8,6,8,15,11.5,25,30,27.5,1,1,1,10,10,10,0
"1435","Lysiloma latisiliquum","5.0-20.0",0,0,5,"","","40.00-100.00","10.00-45.00","","",NA,"2.0-6.0","","","11.0-28.0","9.00-16.00","3.00-6.60","","","","","","","",NA,"","","","5.5-18.0","20.00-62.00",3,0,0,0,1,1,"",3,"",1,57,NA,"","","",NA,"9.0-14.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,40,100,70,2,6,4,NA,NA,NA,11,28,19.5,9,16,12.5,3,6.6,4.8,5.5,18,11.75,20,62,41,NA,NA,NA,5,20,12.5,0
